day,time,operation
7,10:48,перешел в status TEST_STOPPING
7,10:48,перешел в status CANCELED
7,10:48,перешел в status TEST_STOPPING
7,10:48,перешел в status CANCELED
7,10:48,перешел в status TEST_STOPPING
7,10:48,перешел в status CANCELED
7,10:50,запустил test
7,10:50,запустил test
7,10:50,запустил test
7,10:50,стартовал grafana
7,10:50,стартовал grafana
7,10:50,запустил test
7,10:52,стартовал grafana
7,10:53,стартовал grafana
7,10:54,перешел в status TEST_STOPPING
7,10:54,перешел в status CANCELED
7,10:54,запустил test
7,10:56,стартовал grafana
7,10:58,перешел в status TEST_STOPPING
7,10:58,перешел в status CANCELED
7,10:58,перешел в status TEST_STOPPING
7,10:58,перешел в status CANCELED
7,10:58,перешел в status TEST_STOPPING
7,10:58,перешел в status CANCELED
7,10:58,перешел в status TEST_STOPPING
7,10:58,перешел в status CANCELED
7,11:07,запустил test
7,11:07,запустил test
7,11:07,запустил test
7,11:07,запустил test
7,11:07,запустил test
7,11:09,стартовал grafana
7,11:09,стартовал grafana
7,11:09,стартовал grafana
7,11:09,стартовал grafana
7,11:12,стартовал grafana
7,11:14,перешел в status TEST_STOPPING
7,11:14,перешел в status CANCELED
7,11:14,перешел в status TEST_STOPPING
7,11:14,перешел в status CANCELED
7,11:14,перешел в status TEST_STOPPING
7,11:14,перешел в status CANCELED
7,11:14,перешел в status TEST_STOPPING
7,11:14,перешел в status CANCELED
7,11:14,перешел в status TEST_STOPPING
7,11:14,перешел в status CANCELED
7,11:15,запустил test
7,11:15,запустил test
7,11:15,запустил test
7,11:15,запустил test
7,11:15,запустил test
7,11:15,стартовал grafana
7,11:15,стартовал grafana
7,11:17,стартовал grafana
7,11:18,стартовал grafana
7,11:18,стартовал grafana
7,11:22,перешел в status TEST_STOPPING
7,11:22,перешел в status CANCELED
7,11:23,перешел в status TEST_STOPPING
7,11:23,перешел в status CANCELED
7,11:23,перешел в status TEST_STOPPING
7,11:23,перешел в status CANCELED
7,11:23,перешел в status TEST_STOPPING
7,11:23,перешел в status CANCELED
7,11:23,перешел в status TEST_STOPPING
7,11:23,перешел в status CANCELED
7,11:41,запустил test
7,11:41,запустил test
7,11:41,запустил test
7,11:41,запустил test
7,11:41,запустил test
7,11:43,стартовал grafana
7,11:43,стартовал grafana
7,11:44,стартовал grafana
7,11:44,стартовал grafana
7,11:44,стартовал grafana
7,11:58,перешел в status TEST_STOPPING
7,11:58,перешел в status CANCELED
7,11:58,перешел в status TEST_STOPPING
7,11:58,перешел в status CANCELED
7,11:58,перешел в status TEST_STOPPING
7,11:58,перешел в status CANCELED
7,11:58,перешел в status TEST_STOPPING
7,11:58,перешел в status CANCELED
7,11:58,перешел в status CANCELED
7,11:58,перешел в status TEST_STOPPING
7,12:10,запустил test
7,12:10,запустил test
7,12:10,запустил test
7,12:10,запустил test
7,12:10,стартовал grafana
7,12:10,стартовал grafana
7,12:10,запустил test
7,12:12,стартовал grafana
7,12:12,стартовал grafana
7,12:12,стартовал grafana
7,12:16,перешел в status TEST_STOPPING
7,12:16,перешел в status CANCELED
7,12:16,перешел в status TEST_STOPPING
7,12:16,перешел в status CANCELED
7,12:16,перешел в status TEST_STOPPING
7,12:16,перешел в status CANCELED
7,12:16,перешел в status TEST_STOPPING
7,12:16,перешел в status CANCELED
7,12:16,перешел в status TEST_STOPPING
7,12:16,перешел в status CANCELED
7,12:39,запустил test
7,12:39,запустил test
7,12:39,запустил test
7,12:39,запустил test
7,12:39,запустил test
7,12:42,стартовал grafana
7,12:42,стартовал grafana
7,12:42,стартовал grafana
7,12:42,стартовал grafana
7,12:42,стартовал grafana
7,12:46,перешел в status TEST_STOPPING
7,12:46,перешел в status CANCELED
7,12:46,перешел в status TEST_STOPPING
7,12:46,перешел в status CANCELED
7,12:46,перешел в status TEST_STOPPING
7,12:46,перешел в status CANCELED
7,12:46,перешел в status TEST_STOPPING
7,12:46,перешел в status CANCELED
7,12:46,перешел в status TEST_STOPPING
7,12:46,перешел в status CANCELED
7,12:50,запустил test
7,12:50,запустил test
7,12:50,запустил test
7,12:50,запустил test
7,12:50,запустил test
7,12:50,стартовал grafana
7,12:50,стартовал grafana
7,12:50,стартовал grafana
7,12:50,стартовал grafana
7,12:50,стартовал grafana
7,12:51,перешел в status FAILED
